Id,Community
coronarvirusitalia,0
belfast,0
valentinesday,0
valentineday2020,0
wijstakenmee,0
ecoanxiety,0
climatehope,0
australianbushfires,0
bushfiresaustralia,0
mbpoli,0
retweeetplease,0
help,0
deadlineday,0
antarctica2020,0
generalelection2020,0
contaminación,0
salud,0
climateemegency,0
goinggreen,0
climatevote2020,0
australiaonfire,0
climatstreik,0
ableg,0
abpoli,0
yeg,0
australiafires,0
climateprotest,0
australianbushfiredisaster,0
belfastclimatecommission,0
australiaburns,0
prayforaustralia,0
confused,0
ecologicalcollapse,0
resilience,0
savethefuture,0
savecongofauna_flora,0
mondaythoughts,0
fbf,0
cop25madrid,0
timeforaction,0
timepoy,0
personoftheyear,0
genderday,0
actonthegap,0
brookline,0
weareunstoppable,0
rightlivelihoodaward,0
regina,0
saskatchewan,0
29november,0
climatica,0
strajkklimatyczny,0
ridhimapandey,0
29novembre,0
thanksgiving,0
tunisia,0
sustainabledevelopment,0
glamourwoty,0
mydayinla,0
maynooth,0
climatestrikevancouver,0
cop24,0
gretainalberta,0
edmonton,0
alberta,0
unitedweroll,0
filthparade,0
poisonisreal,0
pollutionisreal,0
tailingsponds,0
internationaldayofthegirl,0
worldchangersarenoisy,0
twitteranniversary,0
10milliontreesug,0
cse,0
srhr,0
tuesdaymorning,0
cybermonday2019,0
el7odesobedecemos,0
lacafeterappsoe,0
metroforward,0
biomassa,0
madeinecuador,0
montreal,0
globalclimatestrikes,0
weekforfuture,0
yycclimatestrike,0
kolkata,0
climaterebellion,0
westbengal,0
vpd,0
climatestriketo,0
torontoclimatestrike,0
teachsdgs,0
climatestrikeottawa,0
boston,0
bostonclimatestrike,0
climatestrikeott,0
kinima_mathiton,0
ottawa,0
climatestriketoronto,0
gipuzkoa,0
accionclimática,0
cuba,0
suffragettes,0
rallyfortheimagination,0
artsstrike4climate,0
climatestrikeindia,0
tweetstorm,0
halifax,0
united4climatejustice,0
teamestinzione,0
youngpeoplemarching,0
edchat,0
polmtl,0
kotloyals,0
southpole,0
fridaysforfutureantarctica,0
bhubaneswar,0
climatestrikekorea,0
mtlpoli,0
foreverychild,0
saturdaysforfuture,0
emergenza,0
weday,0
climateactionsummit,0
bced,0
commitment,0
