Source,Target,Count
globalclimatestrike,pride,3
nomoreemptypromises,fridaymorning,3
nomoreemptypromises,fridayfeeling,3
fightfor1point5,globalstrike,3
co2,votethiscapdown,3
nomoreemptypromises,laschet,3
nomoreemptypromises,friday,3
nomoreemptypromises,climate,3
gretathunberg,ff,3
nomoreemptypromises,globalstrike,3
uprootthesystem,fridayfeeling,3
climatestrikeonline,keepitintheground,3
climateaction,nomoreemptysummits,3
nomoreemptypromises,pride,3
uprootthesystem,fridaymorning,3
globalclimatestrike,ff,3
climatestrikeonline,votethiscapdown,3
gretathunberg,allefür1komma5,3
climatestrike,disharavi,3
climatestrikeonline,allefür1komma5,3
greta,pride,3
fridayforfuture,unitebehindthescience,3
uprootthesystem,klimaschutz,3
climatestrikeonline,blackfriday,3
nomoreblahblahblah,anotherworldispossible,3
actnow,climatejusticenow,3
actnow,facetheclimateemergency,3
actnow,klimastreik,3
gretathunberg,friday,3
fightfor1point5,unitebehindthescience,3
climatestrikeonline,precop26,3
climatestrikeonline,klimawahl,3
ilmastolakko,irtiturpeesta,3
fridayforfuture,ff,3
fridaymorning,globalclimatestrike,3
co2,fightfor1point5,3
actnow,nomoreblahblahblah,3
climatestrike,theworldiswatching,3
fridays4future,ff,3
climateaction,pride,3
climateaction,gogreen,3
fightfor1point5,nordstream2,3
fridayforfuture,disharavi,3
precop26,pride,3
fightfor1point5,fridaythoughts,3
fridayforfuture,laschet,3
fridaysforfuture,allefür1komma5,3
fridaysforfuture,fridaythoughts,3
nomoreemptypromises,rt,3
nomoreemptypromises,bundestagswahl21,3
fridayforfuture,precop26,3
co2,fff,3
fridayforfuture,anotherworldispossible,3
climatestrikeonline,laschet,3
climatestrikeonline,makeparisreal,3
nomoreemptypromises,greennewdeal,3
greennewdeal,disharavi,3
gretathunberg,precop26,3
fightfor1point5,precop26,3
uprootthesystem,fridaymotivation,3
climatestrikeonline,neubauer,3
nomoreemptypromises,co2,3
uprootthesystem,nomoreblahblahblah,3
gretathunberg,endfossilfuels,3
ff,anotherworldispossible,3
nomoreemptypromises,klimawandel,3
ilmastolakko,nytonpakko,3
co2,glasgow,3
fridayforfuture,bundestagswahl,3
nomoreemptypromises,klimawahl,3
fridays4future,allefür1komma5,3
nomoreemptypromises,anotherworldispossible,3
uprootthesystem,friday,3
gretathunberg,nomoreblahblahblah,3
fridayforfuture,rt,3
climatestrikeonline,страйкзаклімат,3
fightfor1point5,bundestagswahl,3
actnow,cop26glasgow,3
climatestrike,rt,3
fridaysforfuture,theworldiswatching,3
glasgow,precop26,3
climatechange,votethiscapdown,3
cop26,bundestagswahl,3
schoolstrike4climate,withdrawthecap,3
klimakrise,extinctionrebellion,3
cop26,precop26,3
climatechange,cop26glasgow,3
cop26,laschet,3
cop26,bundestagswahl21,3
climatecrisis,irtiturpeesta,3
cop26,klimawahl,3
climatestrike,makeparisreal,3
schoolstrike4climate,irtiturpeesta,3
climatechange,actnow,3
climatechange,riseupmovement,3
klimakrise,anotherworldispossible,3
climatechange,climate,3
cop26,globalstrike,3
climatechange,extinctionrebellion,3
climateactionnow,theworldiswatching,3
climatechange,co2,3
climatestrike,neubauer,3
endfossilfuels,raiseyourstandards,3
climatechange,nomoreblahblahblah,3
cop26,unitebehindthescience,3
climatestrike,co2,3
climatestrike,klimaschutz,3
climatechange,precop26,3
climatechange,bundestagswahl,3
cop26,cleanupstandardchartered,3
facetheclimateemergency,withdrawthecap,3
klimakrise,withdrawthecap,3
glasgow,berlin,3
climatestrike,klimawandel,3
cop26,berlin,3
makeparisreal,unitebehindthescience,3
climatechange,friday,3
klimakrise,klimastreik,3
climatestrike,greennewdeal,3
climatecrisis,disharavi,3
climatechange,greta,3
climatestrike,riseupmovement,3
klimakrise,facetheclimateemergency,3
klimakrise,climatejusticenow,3
klimakrise,actnow,3
climatecrisis,theworldiswatching,3
climatechange,klimakrise,3
facetheclimateemergency,unitebehindthescience,3
climateactionnow,raiseyourstandards,3
cop26,ff,3
klimaschutz,climateaction,3
cop26,anotherworldispossible,3
klimaschutz,climatecrisis,3
klimaschutz,climateactionnow,3
klimaschutz,nomoreemptypromises,3
klimaschutz,schoolstrike4climate,3
klimaschutz,fridays4future,3
cop26,pride,3
cop26,gogreen,3
klimaschutz,fridayforfuture,3
klimaschutz,climatechange,3
klimaschutz,cop26,3
klimaschutz,gretathunberg,3
klimaschutz,klimakrise,3
klimaschutz,extinctionrebellion,3
klimaschutz,fff,3
klimaschutz,fightfor1point5,3
klimaschutz,actnow,3
klimaschutz,climatejusticenow,3
klimaschutz,klimastreik,3
klimaschutz,cop26glasgow,3
klimaschutz,climatestrikeonline,3
klimaschutz,climateemergency,3
climatejustice,gogreen,3
facetheclimateemergency,glasgow,3
