Id,Count,Named,Original
 merkel,265,German politics,merkel
leavenoonebehind,265,unamed,leavenoonebehind
moorburg,265,unamed,moorburg
scheuer,265,unamed,scheuer
wirbleibenzuhause,265,unamed,wirbleibenzuhause
merz,265,unamed,merz
 coronakrise,264,Covid,corona
eu2020de,264,unamed,eu2020de
hitze,264,unamed,hitze
5jahreskandal,264,unamed,5jahreskandal
 siemens,263,unamed, siemens
klimaneutralität,262,FFF DE,klima
allegegenkohle,262,unamed,allegegenkohle
california,261,unamed,california
wetsuweten,260,unamed,wetsuweten
ukraine,260,unamed,ukraine
life,260,unamed,life
blm,260,unamed,blm
krieg,260,unamed,krieg
innovation,258,unamed,innovation
waldstattasphalt,258,unamed,waldstattasphalt
canada,258,unamed,canada
justtransition,257,unamed,justtransition
bmw,257,unamed,bmw
bangladesh,256,unamed,bangladesh
makeparisreal,256,unamed,makeparisreal
 nichtmeinklimapaket,256,FFF DE,klima
breonnataylor,255,unamed,breonnataylor
spdbpt19,255,German politics,spd
taxonomie,254,unamed,taxonomie
diskriminierung,254,unamed,diskriminierung
notmytaxonomy,253,unamed,notmytaxonomy
hydrogen,252,unamed,hydrogen
stopshell,252,unamed,stopshell
pflegenotstand,252,unamed,pflegenotstand
 australia,251,unamed, australia
plasticpollution,251,unamed,plasticpollution
nrwandel,251,unamed,nrwandel
1mai,251,unamed,1mai
euclimatelaw,251,#FridayForFuture,climate
niemehrcdu,251,German politics,cdu
blockiaa,250,unamed,blockiaa
hetze,250,unamed,hetze
japan,249,unamed,japan
atomausstieg,249,unamed,atomausstieg
peaceandjustice,249,unamed,peaceandjustice
a20stoppen,247,unamed,a20stoppen
hochwasserkatastrophe,246,unamed,hochwasserkatastrophe
climateactivist,245,#FridayForFuture,climate
leag,245,unamed,leag
 flattenthecurve,244,unamed, flattenthecurve
klimastreikwoche,244,Action,klimastreik
lausanne,244,unamed,lausanne
fckafd,244,German politics,afd
wildfires,243,unamed,wildfires
xtausend,243,unamed,xtausend
payup4lossanddamage,243,unamed,payup4lossanddamage
crappybirthday,243,unamed,crappybirthday
keinea20,243,unamed,keinea20
idahobit2022,243,unamed,idahobit2022
yestoqueer,243,unamed,yestoqueer
osterpaket,243,unamed,osterpaket
antarktis,242,unamed,antarktis
stockholm,241,unamed,stockholm
11thhourforclimate,241,#FridayForFuture,climate
saytheirnames,241,unamed,saytheirnames
naturstattautobahnstruktur,241,unamed,naturstattautobahnstruktur
sterkibleibt,241,unamed,sterkibleibt
söder,241,unamed,söder
sogeht1komma5,241,unamed,sogeht1komma5
hamburgwaehltklima,240,FFF DE,klima
nichteuerernst,240,unamed,nichteuerernst
impfen,240,unamed,impfen
g20gipfel,240,unamed,g20gipfel
nobelprize,240,unamed,nobelprize
facebookdown,240,unamed,facebookdown
children,238,unamed,children
kohleausstieg2030,238,FFF DE,kohleausstieg
worldrefugeeday,238,unamed,worldrefugeeday
p7spezial,238,unamed,p7spezial
klimabilanz,238,FFF DE,klima
riseupforchange,238,unamed,riseupforchange
schulboykottnrw,238,unamed,schulboykottnrw
dreadlocks,238,unamed,dreadlocks
exxonknew,237,unamed,exxonknew
electric,237,unamed,electric
 allefuersklima,237,FFF DE,klima
eg2021,237,unamed,eg2021
spdbpt21,237,German politics,spd
petersbergerklimadialog,237,FFF DE,klima
rwehv,237,German politics,rwe
neinzurlobbygap,237,unamed,neinzurlobbygap
dd0004,237,unamed,dd0004
weltgesundheitstag,237,unamed,weltgesundheitstag
transrightsarehumanrights,237,unamed,transrightsarehumanrights
suezblocked,237,unamed,suezblocked
wirmüssenreden,237,unamed,wirmüssenreden
agrarreform,237,unamed,agrarreform
gütersloh,237,unamed,gütersloh
niewieder,237,unamed,niewieder
spdvorsitz,237,German politics,spd
dielinke,237,unamed,dielinke
subventionen,236,unamed,subventionen
 allegegenrwe,236,German politics,rwe
riseupmovement,236,unamed,riseupmovement
hanauistkeineinzefall,236,unamed,hanauistkeineinzefall
arminlasses,236,unamed,arminlasses
oneplanetsummit,236,unamed,oneplanetsummit
